Bloque de Numeración,IDO/IDD,"IDO/IDD
Alternativo",Autorización,Empresa,,,
2 22175XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22176XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22177XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22178XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22179XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22180XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22181XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22182XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22183XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22184XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22185XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22186XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22187XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22188XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22189XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22190XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
